mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.09525728225708008,0.013912009929247264,0.005041885375976563,0.0003849244856034094,5,sqrt,4,15,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 200}",0.9309764309764309,0.8772914328469884,0.9465020576131686,0.9439696106362774,0.9342830009496677,0.9266045066045067,0.025327106489741204,289
0.1383296489715576,0.01616721316857319,0.0077994346618652345,0.0013780035053789304,5,sqrt,4,15,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 300}",0.9315375982042648,0.8754208754208753,0.9470632248410026,0.944349477682811,0.9331433998100664,0.9263029151918041,0.026152800927535184,345
0.2052854061126709,0.03898175132946092,0.011301231384277344,0.003022657357670817,5,sqrt,4,15,400,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 400}",0.9309764309764309,0.8752338196782641,0.9463150018705574,0.9445394112060779,0.9321937321937321,0.9258516791850123,0.026063888128051292,379
0.22927675247192383,0.01682904119235078,0.011923074722290039,0.0024136974936846407,5,sqrt,4,15,500,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 15, 'n_estimators': 500}",0.9313505424616535,0.8744855967078189,0.94668911335578,0.9454890788224122,0.9329534662867996,0.9261935595268929,0.026602214279745025,361
0.09592981338500976,0.015387590915057371,0.007345438003540039,0.003023685105188111,5,sqrt,4,20,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 200}",0.9319117096894873,0.8774784885895996,0.9461279461279462,0.9449192782526116,0.9331433998100664,0.9267161644939422,0.025301471849938587,271
0.14311370849609376,0.010167800033167617,0.007168245315551758,0.00021454118858293684,5,sqrt,4,20,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 300}",0.9320987654320988,0.8756079311634867,0.9470632248410026,0.9452991452991453,0.932383665716999,0.9264905464905464,0.02620007633610735,301
0.1778123378753662,0.014511989269279537,0.009136009216308593,0.0007709178600387296,5,sqrt,4,20,400,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 400}",0.9320987654320988,0.8754208754208754,0.9474373363262252,0.9449192782526116,0.9327635327635327,0.9265279576390688,0.02629560016599707,299
0.23639960289001466,0.022820460126002858,0.01224203109741211,0.0024210625015592202,5,sqrt,4,20,500,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 500}",0.9319117096894874,0.8752338196782641,0.9468761690983913,0.944349477682811,0.9335232668566001,0.9263788886011108,0.026231861941935247,325
0.09009799957275391,0.007104753689425138,0.00523829460144043,0.0009602401849561871,5,sqrt,4,25,200,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 25, 'n_estimators': 200}",0.9319117096894874,0.8799102132435466,0.9461279461279462,0.9433998100664767,0.9327635327635327,0.9268226423781979,0.02412246269939469,261
0.13540124893188477,0.011812444430978158,0.00781559944152832,0.0015167032492661994,5,sqrt,4,25,300,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 25, 'n_estimators': 300}",0.9328469884025439,0.8767302656191545,0.9468761690983912,0.9445394112060778,0.931054131054131,0.9264093930760596,0.025607102169105406,323
